"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C17,C19","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","3",""
"C3,C5","22pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C6,C7,C8,C9,C16,C18,C20,C23","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"DID1","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Gotek:SODFL2512X90N","1",""
"J1,J2","Conn_02x02_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","2",""
"J3,MO1","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"J4,JD1,JE1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3",""
"J7","Display Port","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J10","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"L4","LED GREEN","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"L5","LED RED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"P1","Conn_01x26","2005280260","Gotek:MOLEX_CON_2005280260","1",""
"P3","USB_A","~","Connector_USB:USB_A_Molex_67643_Horizontal","1",""
"PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PU10,PU11,PU12,PU13,PU14,R21,RN1,RN2,RN3,RN4,RN5,RN6","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","21",""
"Q1,Q2,Q3,Q4,Q5,Q6","PMBT2222A,215","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","Gotek:SOT95P280X130-3N","6",""
"R1,R2","22R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,RN13","4K7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"S3,S4","SKHHANA010","https://www.mouser.co.uk/datasheet/2/15/SKHH-1370651.pdf","Gotek:SKHHLQA010","2",""
"U1","74AHC04","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
"U3","at32f415rbt7","https://www.arterytek.com/download/DS/DS_AT32F415_V2.01_CH.pdf","Gotek:QFP50P1200X1200X160-64N","1",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Gotek:SOT229P700X180-4N","1",""
"U8","SST25VF016B-50-4C-S2AF","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","Gotek:SOIC127P790X216-8N","1",""
"Y1","8Mhz","~","Crystal:Crystal_HC18-U_Vertical","1",""
